Name,Version
acorn,5.7.3
acorn,6.2.1
acorn-dynamic-import,4.0.0
ajv-errors,1.0.1
ajv-keywords,3.4.1
ansi-colors,3.2.3
ansi-html,0.0.7
ansi-regex,4.1.0
ansi-styles,3.2.1
anymatch,2.0.0
app-module-path,2.2.0
aproba,1.2.0
archiver,3.0.0
archiver-utils,2.1.0
are-we-there-yet,1.1.5
arr-flatten,1.1.0
array-flatten,2.1.2
array-union,1.0.2
array-uniq,1.0.3
asn1.js,4.10.1
assert,1.5.0
ast,1.7.10
ast,1.8.5
ast-types,0.9.6
async,2.6.3
async-each,1.0.3
async-limiter,1.0.0
base62,1.2.8
base64-js,1.3.0
batch,0.6.1
big.js,3.2.0
big.js,5.2.2
binary-extensions,1.13.1
bluebird,3.5.5
bn.js,4.11.8
body-parser,1.18.3
body-parser,1.19.0
bonjour,3.5.0
brorand,1.1.0
brotli,1.3.2
brotli-webpack-plugin,1.1.0
browserify-aes,1.2.0
browserify-cipher,1.0.1
browserify-des,1.0.2
browserify-rsa,4.0.1
browserify-sign,4.0.4
browserify-zlib,0.2.0
buffer,4.9.1
buffer,5.2.1
buffer-crc32,0.2.13
buffer-indexof,1.1.1
buffer-xor,1.0.3
builtin-status-codes,3.0.0
bytes,3.1.0
cacache,11.3.3
camelcase,5.3.1
chalk,2.4.2
chokidar,2.1.6
chownr,1.1.2
chrome-trace-event,1.0.2
cipher-base,1.0.4
cliui,4.1.0
cliui,5.0.0
color-convert,1.9.3
color-name,1.1.3
colors,1.3.3
columnify,1.5.4
command-exists,1.2.8
commondir,1.0.1
commoner,0.10.8
compress-commons,2.0.0
compressible,2.0.17
compression,1.7.4
compression-webpack-plugin,3.0.0
config-chain,1.1.12
connect-history-api-fallback,1.6.0
console-browserify,1.1.0
constants-browserify,1.0.0
content-disposition,0.5.3
cookie,0.4.0
cookie-parser,1.4.4
copy-concurrently,1.0.5
core,2.35.0-dev.3127.49
core,2.35.0-dev.3282.49
crc,3.8.0
crc32-stream,2.0.0
create-ecdh,4.0.3
create-hash,1.2.0
create-hmac,1.1.7
crypto-browserify,3.12.0
css-loader,3.0.0
cssesc,3.0.0
cyclist,0.2.2
date-now,0.1.4
debug,4.1.1
decompress-response,3.3.0
deep-extend,0.6.0
default-gateway,4.2.0
defaults,1.0.3
del,4.1.1
des.js,1.0.0
detect-file,1.0.0
detect-libc,1.0.3
detect-node,2.0.4
detective,4.7.1
diff,4.0.1
diff2html,2.10.0
diffie-hellman,5.0.3
dns-equal,1.0.0
dns-packet,1.3.1
dns-txt,2.0.2
domain-browser,1.2.0
duplexify,3.7.1
editorconfig,0.15.3
electron-context-menu,0.12.1
electron-dl,1.14.0
electron-is-dev,1.1.0
electron-squirrel-startup,1.0.0
elliptic,6.5.0
emoji-regex,7.0.3
emojis-list,2.1.0
enhanced-resolve,4.1.0
envify,3.4.1
errno,0.1.7
eslint-scope,4.0.3
esprima-fb,15001.1.0-dev-harmony-fb
esrecurse,4.2.1
events,3.0.0
eventsource,1.0.7
evp_bytestokey,1.0.3
execa,1.0.0
expand-template,2.0.3
expand-tilde,2.0.2
express,4.16.4
express,4.17.1
ext-list,2.2.2
ext-name,5.0.0
extract-zip,1.6.7
faye-websocket,0.10.0
faye-websocket,0.11.3
fd-slicer,1.0.1
figgy-pudding,3.5.1
file-loader,4.0.0
finalhandler,1.1.2
find-cache-dir,2.1.0
find-cache-dir,3.0.0
find-up,3.0.0
find-up,4.1.0
findup-sync,3.0.0
floating-point-hex-parser,1.8.5
flush-write-stream,1.1.1
for-in,1.0.2
from2,2.3.0
fs-extra,8.0.1
fs-minipass,1.2.5
fs-write-stream-atomic,1.0.10
fsevents,1.2.9
get-caller-file,1.0.3
get-caller-file,2.0.5
get-stream,4.1.0
github-from-package,0.0.0
glob,7.1.1
global-modules,1.0.0
global-modules,2.0.0
global-prefix,1.0.2
global-prefix,3.0.0
globby,6.1.0
graceful-fs,4.2.0
handle-thing,2.0.0
has-flag,3.0.0
hash-base,3.0.4
hash.js,1.1.7
helper-api-error,1.8.5
helper-buffer,1.8.5
helper-code-frame,1.7.10
helper-code-frame,1.8.5
helper-fsm,1.8.5
helper-module-context,1.8.5
helper-wasm-bytecode,1.7.10
helper-wasm-bytecode,1.8.5
helper-wasm-section,1.7.10
helper-wasm-section,1.8.5
hmac-drbg,1.0.1
hogan.js,3.0.2
homedir-polyfill,1.0.3
hpack.js,2.1.6
html-entities,1.2.1
http-deceiver,1.2.7
http-parser-js,0.4.10
https-browserify,1.0.0
ibm-cos-sdk,1.5.0
ibm-cos-sdk,1.5.1-0
iconv-lite,0.4.24
icss-utils,4.1.1
ieee754,1.1.13
ieee754,1.2.0
ieee754,1.8.5
iferr,0.1.5
ignore-loader,0.1.2
ignore-walk,3.0.1
iltorb,2.4.3
import-local,2.0.0
imurmurhash,0.1.4
indexes-of,1.0.1
internal-ip,4.3.0
invert-kv,2.0.0
ip-regex,2.1.0
is-binary-path,1.0.1
is-number,3.0.0
is-path-cwd,2.2.0
is-path-in-cwd,2.1.0
is-path-inside,2.1.0
is-plain-obj,1.1.0
is-plain-object,2.0.4
is-windows,1.0.2
is-wsl,1.1.0
isobject,3.0.1
jmespath,0.15.0
js-beautify,1.10.0
json-colorizer,2.2.1
json3,3.3.3
json5,0.5.1
jsonfile,4.0.0
jstransform,11.0.3
killable,1.0.1
kind-of,4.0.0
lazystream,1.0.0
lcid,2.0.0
leb128,1.8.5
loader-runner,2.4.0
loader-utils,0.2.17
loader-utils,1.2.3
locate-path,3.0.0
locate-path,5.0.0
lodash,4.17.15
lodash.defaults,4.2.0
lodash.difference,4.5.0
lodash.flatten,4.4.0
lodash.isplainobject,4.0.6
lodash.union,4.6.0
loglevel,1.6.3
long,4.2.2
lru-cache,4.1.5
lru-cache,5.1.1
make-dir,2.1.0
make-dir,3.0.0
mamacro,0.0.3
map-age-cleaner,0.1.3
marked,0.6.2
md5.js,1.3.5
mem,4.3.0
memory-fs,0.4.1
merge,1.2.1
miller-rabin,4.0.1
mime,2.4.4
mimic-fn,2.1.0
mimic-response,1.0.1
minimalistic-assert,1.0.1
minimalistic-crypto-utils,1.0.1
minimatch,3.0.3
minipass,2.3.5
minizlib,1.2.1
mississippi,3.0.0
mixin-deep,1.3.2
mkdirp,0.3.0
modify-filename,1.1.0
monaco-editor,0.14.3
morgan,1.9.1
move-concurrently,1.0.1
multicast-dns,6.2.3
multicast-dns-service-types,1.1.0
nan,2.12.1
nan,2.14.0
napi-build-utils,1.0.0
napi-build-utils,1.0.1
needle,2.3.0
needle,2.4.0
neo-async,2.6.1
node,12.0.10
node-abi,2.9.0
node-forge,0.7.5
node-libs-browser,2.2.1
node-pre-gyp,0.12.0
node-pty,0.8.1
noop-logger,0.1.1
normalize-path,2.1.1
normalize-path,3.0.0
npm-bundled,1.0.6
npm-packlist,1.4.1
obuf,1.1.2
open,6.3.0
opn,5.5.0
original,1.0.2
os-browserify,0.3.0
os-locale,3.1.0
osenv,0.1.5
p-defer,1.0.0
p-is-promise,2.1.0
p-limit,2.2.0
p-locate,3.0.0
p-locate,4.1.0
p-map,2.1.0
p-retry,3.0.1
p-try,2.2.0
pako,1.0.10
parallel-transform,1.1.0
parse-asn1,5.1.4
parse-duration,0.1.1
parse-ms,2.1.0
parse-passwd,1.0.0
path-browserify,0.0.1
path-exists,4.0.0
path-is-inside,1.0.2
pbkdf2,3.0.17
pend,1.2.0
pify,4.0.1
pkg-dir,3.0.0
pkg-dir,4.2.0
plugin-bash-like,0.24.0-dev.3127.49
plugin-bash-like,0.24.0-dev.3282.49
plugin-core-support,0.35.0-dev.3282.49
plugin-editor,0.24.0-dev.3282.49
plugin-k8s,0.35.0-dev.3282.49
plugin-k8s,0.35.0-dev.3312.49
plugin-proxy-support,0.35.0-dev.3282.49
portfinder,1.0.21
postcss,7.0.17
postcss-modules-extract-imports,2.0.0
postcss-modules-local-by-default,3.0.2
postcss-modules-scope,2.1.0
postcss-modules-values,3.0.0
postcss-selector-parser,6.0.2
postcss-value-parser,4.0.0
prebuild-install,5.3.0
pretty-ms,5.0.0
private,0.1.8
promise-inflight,1.0.1
prop-types,15.7.2
proxy,0.35.0-dev.3282.49
proxy-webapp,0.0.1
prr,1.0.1
public-encrypt,4.0.3
pump,2.0.1
pump,3.0.0
pumpify,1.5.1
pupa,1.0.0
q,1.5.1
querystring-es3,0.2.1
querystringify,2.1.1
randombytes,2.1.0
randomfill,1.0.4
raw-body,2.4.0
raw-loader,3.0.0
rc,1.2.8
react,0.14.9
react,16.8.6
react-dom,0.14.9
react-dom,16.8.6
react-is,16.8.6
readable-stream,3.4.0
readdirp,2.2.1
recast,0.11.23
remove-trailing-separator,1.1.0
repeat-element,1.1.3
require-main-filename,2.0.0
requires-port,1.0.0
resolve-cwd,2.0.0
resolve-dir,1.0.1
resolve-from,3.0.0
retry,0.12.0
rimraf,2.6.3
ripemd160,2.0.2
run-queue,1.0.3
sax,1.2.4
scheduler,0.13.6
schema-utils,1.0.0
search-kui-plugin,0.0.0-semantically-released
select-hose,2.0.0
selfsigned,1.10.4
semver,6.1.1
semver,6.2.0
send,0.17.1
serialize-javascript,1.7.0
serve-index,1.9.1
serve-static,1.14.1
set-value,2.0.1
sha.js,2.4.11
shebang-loader,0.0.1
simple-concat,1.0.0
simple-get,2.8.1
simple-html-tokenizer,0.1.1
sockjs,0.3.19
sockjs-client,1.3.0
sort-keys,1.1.2
sort-keys-length,1.0.1
source-list-map,2.0.1
source-map-loader,0.2.4
source-map-support,0.5.12
spdy,4.0.0
spdy-transport,3.0.0
ssri,6.0.1
stream-browserify,2.0.2
stream-each,1.2.3
stream-http,2.8.3
string-width,3.1.0
string.prototype.codepointat,0.2.1
strip-ansi,5.2.0
supports-color,5.5.0
supports-color,6.1.0
svg-inline-loader,0.8.0
tapable,1.1.3
tar,4.4.8
terser,4.1.2
terser-webpack-plugin,1.3.0
through2,2.0.5
thunky,1.0.3
timers-browserify,2.0.10
tmp,0.1.0
to-arraybuffer,1.0.1
to-string-loader,1.1.5
tty-browserify,0.0.0
ua-parser-js,0.7.20
union-value,1.0.1
uniq,1.0.1
unique-filename,1.1.1
unique-slug,2.0.2
universalify,0.1.2
unused-filename,1.0.0
upath,1.1.2
url,0.10.3
url-parse,1.4.7
utf8,1.8.5
util,0.11.1
v8-compile-cache,2.0.3
vm-browserify,1.1.0
wasm-edit,1.7.10
wasm-edit,1.8.5
wasm-gen,1.7.10
wasm-gen,1.8.5
wasm-opt,1.7.10
wasm-opt,1.8.5
wasm-parser,1.7.10
wasm-parser,1.8.5
wast-parser,1.7.10
wast-parser,1.8.5
wast-printer,1.7.10
wast-printer,1.8.5
watchpack,1.6.0
wbuf,1.7.3
wcwidth,1.0.1
webpack,0.1.0-dev.3282.49
webpack,4.35.0
webpack-cli,3.3.5
webpack-dev-middleware,3.7.0
webpack-dev-server,3.7.2
webpack-log,2.0.0
webpack-sources,1.3.0
webpack-visualizer-plugin,0.1.11
websocket-driver,0.7.3
websocket-extensions,0.1.3
whatwg-fetch,3.0.0
which-pm-runs,1.0.0
wide-align,1.1.3
worker-farm,1.7.0
wrap-ansi,5.1.0
ws,7.1.0
xml2js,0.4.19
xmlbuilder,10.1.1
xmlbuilder,9.0.7
xterm,3.13.0
y18n,4.0.0
yallist,3.0.3
yargs,12.0.5
yargs,13.2.4
yargs-parser,11.1.1
yargs-parser,13.1.1
yauzl,2.4.1
zip-stream,2.1.0
